"Date","Price","Open","High","Low","Change %"
"09/25/2024","97.94","97.94","97.94","97.94","-0.16%"
"09/24/2024","98.10","98.10","98.10","98.10","0.27%"
"09/18/2024","97.84","97.84","97.84","97.84","-0.01%"
"09/16/2024","97.85","98.03","98.03","97.85","0.30%"
"09/09/2024","97.56","99.01","99.01","97.56","0.16%"
"09/06/2024","97.40","97.40","97.40","97.40","0.37%"
"09/02/2024","97.04","97.05","97.05","97.04","-0.13%"
"08/28/2024","97.17","97.17","97.17","97.17","0.76%"
"08/16/2024","96.44","96.10","96.50","96.10","0.52%"
"08/01/2024","95.94","95.94","95.94","95.94","0.43%"
"07/22/2024","95.53","95.53","95.53","95.53","0.23%"
"07/19/2024","95.31","95.31","95.31","95.31","-0.35%"
"07/18/2024","95.64","95.60","95.64","95.60","0.20%"
"07/17/2024","95.45","95.56","95.56","95.45","0.44%"
"07/09/2024","95.03","95.03","95.03","95.03","0.50%"
"06/26/2024","94.56","94.56","94.56","94.56","0.25%"
"06/10/2024","94.32","94.32","94.32","94.32","-0.46%"
"06/07/2024","94.76","94.74","94.76","94.74","-0.04%"
"06/06/2024","94.80","94.72","94.80","94.80","0.04%"
"06/04/2024","94.76","94.78","94.78","94.76","0.18%"
"06/03/2024","94.59","94.43","94.59","94.43","0.34%"
"05/31/2024","94.27","94.27","94.27","94.27","-0.28%"
"05/13/2024","94.53","94.53","94.53","94.53","-0.02%"
"05/08/2024","94.55","94.55","94.55","94.55","-0.18%"
"05/07/2024","94.72","94.72","94.72","94.72","1.14%"
"04/30/2024","93.65","93.65","93.65","93.65","0.05%"
"04/29/2024","93.60","93.60","93.60","93.60","0.27%"
"04/22/2024","93.35","93.35","93.35","93.35","-0.27%"
"04/17/2024","93.60","93.60","93.60","93.60","-0.11%"
"04/16/2024","93.70","94.47","94.47","93.70","0.05%"
"04/11/2024","93.65","93.65","93.65","93.65","-0.95%"
"04/05/2024","94.55","94.55","94.55","94.55","-0.16%"
"04/04/2024","94.70","94.70","94.70","94.70","0.48%"
"04/03/2024","94.25","94.25","94.25","94.25","-0.79%"
"04/02/2024","95.00","95.00","95.00","95.00","0.26%"
"03/28/2024","94.75","94.75","94.75","94.75","0.07%"
"03/22/2024","94.68","94.68","94.68","94.68","0.15%"
"03/19/2024","94.54","94.54","94.54","94.54","-0.02%"
"03/07/2024","94.56","94.56","94.56","94.56","0.16%"
"03/04/2024","94.41","94.41","94.41","94.41","-0.38%"
